104company - 104company
area,Company,Industry,Capital,Employee_Count
新北市板橋區,台灣通用磨坊股份有限公司 _ General Mills Taiwan,其他食品製造業,0,500
台北市內湖區,Amazon Devices/Ring_環安智控股份有限公司,電腦及其週邊設備製造業,0,1000
新北市中和區,貿聯國際股份有限公司,其他電子零組件相關業,70000000,9300
台北市中正區,宜得利家居股份有限公司,建材／傢俱零售業,940000000,700
新北市中和區,台灣松下電器股份有限公司,消費性電子產品製造業,0,3000
台北市松山區,富邦人壽保險股份有限公司_中強通訊處(吳牧軒)(核准文號109A01號),人身保險業,110831140000,27825
台北市大安區,根基營造股份有限公司,其他營造業,1000000000,500
台北市松山區,富邦人壽保險股份有限公司_高仲通訊處(蔡依君)(核准文號110A01號),人身保險業,110831140000,27653
新北市土城區,英屬開曼群島商康而富控股股份有限公司,消費性電子產品製造業,650000000,2000
台北市內湖區,新高國際設施服務股份有限公司,家事服務業,0,1000
台北市中山區,泰晶殿皇家SPA莊園_康是富有限公司,美容／美體業,0,800
新北市中和區,鼎泰豐小吃店股份有限公司,餐館業,100000000,2000
台北市松山區,東方絲路科技有限公司,電子通訊/電腦週邊批發業,0,580
新北市新莊區,鬍鬚張股份有限公司,餐館業,150000000,1600
台北市中山區,威合股份有限公司,環境衛生及污染防治服務業,25000000,3500
台北市南港區,美商_睿科網路科技有限公司,網際網路相關業,0,750
台北市松山區,裕利股份有限公司,其他醫療保健服務業,218000000,800
台北市松山區,地球村美日韓語_地球村語文資訊有限公司,補習班,0,2000
台北市松山區,富邦人壽保險股份有限公司_富恆通訊處(王皓霆)(核准文號110A01),人身保險業,110831140000,27653
台北市內湖區,燦星網通股份有限公司,家庭電器／設備及用品零售業,1343000000,6268
台北市松山區,富邦人壽保險股份有限公司_富龍通訊處(核准文號110A01號),人身保險業,110831140000,27653
台北市大安區,台橡股份有限公司,合成樹脂／塑膠及橡膠製造業,8250000000,620
台北市大安區,國泰人壽保險股份有限公司_直效行銷部,人身保險業,50600000000,30000
台北市南港區,中國信託綜合證券股份有限公司,證券及期貨業,9500000000,500
新北市中和區,冠坤電子企業股份有限公司,其他電子零組件相關業,700000000,1200
新北市板橋區,Synology_群暉科技股份有限公司,電腦軟體服務業,0,700
新北市五股區,仁大資訊股份有限公司,電腦及其週邊設備製造業,230000000,500
台北市中山區,力麗觀光開發股份有限公司(力麗店5364),旅館業,140000000,500
台北市信義區,華新麗華股份有限公司,其他機械製造修配業,36100000000,6500
台北市松山區,富邦人壽保險股份有限公司_富達通訊處(核准文號110A01號),人身保險業,110831140000,27653
新北市新莊區,長源汽車股份有限公司,汽車及其零件製造業,3135000000,822
台北市大安區,天仁茶業股份有限公司,飲料製造業,95910000,877
新北市新莊區,臺灣湯淺電池股份有限公司,電池製造業,435000000,1300
