benefit - benefit
Company,welfare
台灣通用磨坊股份有限公司 _ General Mills Taiwan,"兼職人員福利:
1.        勞保、健保、員工團保
2.        公司商品折扣優惠
3.        員工教育訓練與職涯發展規劃
4.     年假代金
正職人員可再享有:
1.     優於勞基法的年假制度
2.     眷屬團保選項
3.        員工福利品
4.        社團活動、英語進修補助
5.        員工旅遊補助(含旅遊假一天)
6.        年度員工健康檢查
7.        生日禮券/三節禮券/禮品
8.        婚喪喜慶慰問金
9.        員工年終同樂晚會
10.   生日假"
Amazon Devices/Ring_環安智控股份有限公司,"Comprehensive Benefits: In addition to the traditional programs, Ring offers a variety of programs to support Work/Life Balance including:

1. Employee health exam program 
2. Annual leave/paid sick leave/flexible vacation 
3. Group insurance and medical plan 
4. Flexible working hours 
5. Birth fringe benefit
6. Team gathering dining  
7. Free Ring product experience   
8. Coffee bar, snacks bar and happy hour
9. Nice office with sophisticated river view"
貿聯國際股份有限公司,"◆ 獎金/禮品類
        1.年終獎金
	2.三節獎金/禮品
◆ 保險類
	1.勞保
	2.健保
	3.員工團保
◆ 休閒類
	1.國內/國外旅遊
	2.慶生會
◆ 請 / 休假制度
	1.週休二日
        2.彈性上下班
	3.特休/年假
	4.陪產假
	5.家庭照顧假
	6.女性同仁生理假
◆ 補助類
	1.健康檢查
        2.結婚禮金
	3.生育津貼
	4.住院慰問金
	5.退職金提撥"
宜得利家居股份有限公司,"◆ 獎金/禮品類
	1.年終獎金(依業績評價，分夏季獎金、冬季獎金)

◆ 保險類
	1.勞保
	2.健保
	3.員工團保

◆ 補助類(正職員工)
	1.結婚禮金
	2.生育津貼
	3.退職金提撥

◆ 制度類
	1.員工制服(店舖工作者)
	2.伙食津貼(正職員工)
        3.地區津貼(正職員工)
        4.完整的教育訓練
	5.順暢的升遷管道(正職員工)

◆ 請 / 休假制度
	1.特休(依勞基法規定，工作滿半年3天、滿一年7天...以此類推)/年假
	2.陪產假
        3.店鋪採彈性輪休的週休二日(採排班制，並非每週休週末)
        
◆ 其他
	1.員工購物優惠(在職3個月後)。
	2.健康檢查費用補助(正職員工)。
        3.推薦參加日本研修、美國研修(正職員工)。
        4.日本觀光地特約會館利用申請(正職員工)。
        5.本部會與日籍主管直接日文對話，可加強日文能力。
        6.公司具備完善的配轉教育(調職教育)，以增進員工的工作經驗及知識(正職員工)。
        7.利用網路學園，學習商品知識
        8.公司與日文教材網合作提供日文的線上教學，並鼓勵員工報考日本語能力試驗，試驗合格者可獲得報名費補助及最高新台幣15,000元的獎金。(正職員工)"
台灣松下電器股份有限公司,"◆勤務制度
-公司設有暑假制度(8月第二週)
-依年資享有特別休假、旅遊假
-產假、陪產假、家庭照顧假、路程假(婚喪/兵役)、優於法令的事假及病假等

◆我們打造安全職場，讓你我共同成長：能力成果主義的員工職涯發展體制
-設有師資、設備完善的人才培訓中心及海外派遣研修制度(1個月~1年期間)
-透過OJT、OFF JT及工作輪調，來遂行員工在職訓練

◆主要福利措施：勞基法之規定外另提供
1.職工福利方案：
    -員工慶弔慰問
    -員工急難救助/團體保險
    -三節禮金/禮品
    -勞工節禮金/禮品
    -生日禮券
    -員工旅遊補助
    -子女教育獎助金
2.身心健康協助方案：
    -完善員工餐廳及安全舒適員工宿舍
    -設置員工醫護室，為員工提供完善的健康諮詢服務
    -圖書館及職工福利委員會等
    -多元社團活動與康樂室
    -不定期員工活動
3.完善薪酬制度：
   -具競爭力的薪資年收水準
   -年終獎金及達成獎金
   -完善的升遷管道
   -年度考核及年度調薪
   -智慧財產專利獎勵

公司提供友善、平等的職場環境與就業機會。歡迎大家加入成為松下集團的一員。"
富邦人壽保險股份有限公司_中強通訊處(吳牧軒)(核准文號109A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
根基營造股份有限公司,"幸福根基人專屬的福利好康

《荷包滿滿》：業界內具競爭力的薪資與年終獎金
《收穫滿滿》：端午、中秋、生日皆發放購物禮券供您及家人血拼
《保障滿滿》：免費團保讓您工作生活更有保障
《健康滿滿》：年度健檢為您的健康把關
《福利滿滿》：員工購屋優惠拉近您與成家夢想間的距離
《專業滿滿》：各式內訓、外訓與進修補助鼓勵您在專業更上層樓
《關心滿滿》：婚喪喜慶、傷病慰問補助金/禮券傳達公司關懷
《貼心滿滿》：設有哺(集)乳室供媽咪同仁安心使用
《活力滿滿》：各式活力社團等您來加入
《公益滿滿》：年度多項公益活動期待您一起傳播愛心"
富邦人壽保險股份有限公司_高仲通訊處(蔡依君)(核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
英屬開曼群島商康而富控股股份有限公司,"1.保障年薪14個月，即除每月薪資外，每逢中秋、端午各發0.5個月本薪，春節發1個月本薪，惟發放時未任職滿3個月者，不予發放。
2.大學畢業新鮮人起薪新台幣30,000元，碩士起薪新台幣40,000元，博士起薪新台幣50,000元。
3.享勞、健保、團保。 
4.意外險保障。
5.國內外旅遊。"
新高國際設施服務股份有限公司,"保險福利：
勞保
健保
三節生日禮"
